Timestamp,ServiceID,Pseudonym,Longitude,Latitude,Width,Length,Speed,Heading
30700,365,1129566413,2390,5310,62,1023,984,900
30700,435,137806862,660,6180,62,1023,983,2700
30800,225,1653377373,4040,7020,62,1023,673,30
30800,85,184803526,10690,5310,62,1023,974,900
30800,505,749241873,4320,9470,62,1023,984,3597
30900,295,1424268980,7520,5310,62,1023,997,900
31000,155,412776091,10710,5600,62,1023,983,900
31000,575,1911759956,-2580,5890,62,1023,1217,2700
31100,435,137806862,300,6180,62,1023,996,2700
31200,365,42999170,2830,5310,62,1023,997,900
31200,225,1653377373,4040,7270,62,1023,726,3597
31300,85,982906996,11130,5310,62,1023,985,900
31300,505,749241873,4320,9920,62,1023,985,3597
31400,295,1424268980,7960,5310,62,1023,977,900
31400,575,1911759956,-3020,5890,62,1023,1221,2700
31500,155,135497281,11150,5600,62,1023,994,900
31500,435,137806862,-50,6180,62,1023,977,2700
31600,225,1653377373,4040,7550,62,1023,778,3597
31700,365,42999170,3280,5310,62,1023,996,900
31800,85,982906996,11580,5310,62,1023,988,900
31800,575,1911759956,-3460,5890,62,1023,1217,2700
31800,505,749241873,4320,10370,62,1023,979,3597
31900,295,511702305,8400,5310,62,1023,979,900
32000,225,1653377373,4040,7840,62,1023,833,3597
32000,155,135497281,11600,5600,62,1023,996,900
32000,435,137806862,-500,6180,62,1023,990,2700
32200,365,42999170,3720,5310,62,1023,981,900
32200,575,2084420925,-3900,5890,62,1023,1227,2700
32300,225,1937477084,4040,8080,62,1023,886,3597
32300,85,982906996,12020,5310,62,1023,1000,900
32300,505,749241873,4310,10810,62,1023,994,3597
32400,295,511702305,8850,5310,62,1023,987,900
32500,155,135497281,12040,5600,62,1023,976,900
32500,435,137806862,-940,6180,62,1023,980,2700
32600,225,1937477084,4040,8330,62,1023,942,3597
32600,575,2084420925,-4330,5890,62,1023,1205,2700
32700,365,42999170,4170,5310,62,1023,994,900
32800,85,982906996,12460,5310,62,1023,977,900
32800,505,749241873,4310,11260,62,1023,991,3597
32900,225,1937477084,4040,8590,62,1023,979,3597
32900,295,511702305,9290,5310,62,1023,999,900
33000,155,135497281,12480,5600,62,1023,987,900
33000,435,137806862,-1380,6180,62,1023,996,2700
33000,575,2084420925,-4770,5890,62,1023,1227,2700
33200,365,42999170,4610,5310,62,1023,984,900
33200,225,1937477084,4030,8860,62,1023,980,3597
33300,85,982906996,12910,5310,62,1023,989,900
33300,505,749241873,4310,11710,62,1023,994,3597
33400,295,511702305,9740,5310,62,1023,993,900
33400,575,2084420925,-5210,5890,62,1023,1210,2700
33500,225,1937477084,4030,9120,62,1023,1000,3597
33500,155,135497281,12930,5600,62,1023,979,900
33500,435,137806862,-1820,6180,62,1023,980,2700
33700,365,42999170,5050,5310,62,1023,987,900
33800,85,982906996,13350,5310,62,1023,992,900
33800,575,2084420925,-5650,5890,62,1023,1224,2700
33800,505,1827336327,4310,12160,62,1023,994,3597
33900,295,511702305,10180,5310,62,1023,986,900
34000,225,1937477084,4030,9570,62,1023,993,3597
34000,155,135497281,13370,5600,62,1023,980,900
34000,435,572660336,-2270,6180,62,1023,984,2700
34200,365,1159126505,5490,5310,62,1023,982,900
34200,575,2084420925,-6080,5890,62,1023,1214,2700
34300,85,805750846,13790,5310,62,1023,997,900
34300,505,1827336327,4310,12600,62,1023,985,3597
34400,295,511702305,10620,5310,62,1023,977,900
34500,225,1937477084,4030,10020,62,1023,975,3597
34500,155,1632621729,13810,5600,62,1023,998,900
34500,435,572660336,-2710,6180,62,1023,984,2700
34600,575,1100661313,-6520,5890,62,1023,1205,2700
34700,365,1159126505,5940,5310,62,1023,977,900
34800,85,805750846,14240,5310,62,1023,981,900
